srcPort,dstPort,protocol,length,flowSize,srcAddr1,srcAddr2,srcAddr3,srcAddr4,dstAddr1,dstAddr2,dstAddr3,dstAddr4
7500,52138,0,40,120,179,175,57,247,170,239,243,219
443,7176,0,40,200,52,223,37,89,146,55,105,97
18010,45194,0,40,80,91,4,80,18,182,250,165,63
443,42970,0,40,280,52,92,253,207,175,86,21,37
443,42080,0,40,160,55,8,36,251,136,87,70,20
23,44090,0,40,80,149,18,111,110,175,86,20,72
28300,63862,1,28,56,179,163,182,23,171,198,89,47
59278,32406,1,28,56,89,232,231,88,182,22,78,3
49991,445,0,40,40,160,68,140,239,45,62,233,117
80,52290,0,40,80,199,105,231,190,146,55,105,99
443,40568,0,40,40,34,239,67,40,146,55,105,92
443,38697,0,40,120,91,12,171,106,171,176,25,166
443,59363,0,40,80,205,190,20,171,161,89,80,150
57725,49347,1,28,28,128,55,251,95,180,211,115,85
80,57763,0,40,80,30,252,247,54,136,186,73,156
443,61970,0,40,360,146,55,91,192,146,55,105,93
443,1632,0,40,40,52,79,70,96,175,84,167,221
47118,443,0,40,40,45,225,54,251,30,239,0,115
34389,10580,1,28,28,105,224,210,35,136,28,187,238
443,56428,0,40,80,148,227,42,103,136,28,184,252
80,51417,0,40,80,72,106,214,253,162,67,235,67
443,55776,0,40,80,34,223,208,227,175,242,126,12
16700,18142,1,28,28,52,121,191,23,175,84,156,51
50872,39951,1,28,28,213,13,164,127,203,253,167,159
443,60084,0,40,40,213,5,4,231,162,160,211,215
54004,13513,1,28,28,128,55,240,54,182,247,21,61
27424,55008,1,28,28,126,49,235,161,219,221,0,216
80,64628,0,40,40,25,31,79,30,146,55,105,100
7777,63564,1,28,28,37,245,124,2,175,73,250,3
6881,62335,1,28,56,168,117,52,28,191,151,184,76
443,4893,0,40,200,199,192,105,231,180,120,246,52
56209,2431,0,40,40,94,164,182,90,45,237,34,151
443,27434,0,40,80,55,28,201,238,146,55,105,101
443,38409,0,40,80,26,120,121,242,162,67,238,164
443,8088,0,40,40,146,55,91,233,146,55,105,93
443,45425,0,40,40,35,81,36,252,45,170,72,158
443,51215,0,40,40,203,77,48,234,45,87,160,224
49396,45657,1,28,28,117,157,147,229,175,84,134,90
6881,58324,1,28,28,223,239,74,34,173,249,37,99
443,56154,0,40,80,30,220,161,87,146,55,105,99
80,49818,0,40,40,91,71,4,161,171,199,191,51
443,51365,0,40,40,213,13,166,60,175,73,180,41
443,50347,0,40,40,178,22,254,74,161,80,83,183
53,38700,1,28,28,164,172,239,127,158,48,141,210
443,12817,0,40,160,13,95,213,38,199,124,196,49
59495,60557,1,28,28,128,55,250,208,136,34,95,235
45713,59415,1,28,28,89,28,239,58,173,249,119,133
443,62019,0,40,40,124,24,148,185,175,84,158,83
50406,2022,1,28,28,45,46,231,76,203,24,248,85
443,31156,0,40,40,189,55,242,120,146,55,105,98
443,51258,0,40,40,52,100,112,16,175,69,90,136
53,61560,1,28,28,94,21,84,159,158,48,141,194
49847,113,0,40,40,169,221,13,230,171,168,25,181
443,42756,0,40,40,75,196,96,184,175,70,223,239
