srcIP,srcPort,dstIP,dstPort,protocol,ip_ihl,ip_tos,ip_flags,ip_ttl,tcp_dataofs,tcp_flag,tcp_window,udp_len,length,flowSize
179.175.57.247,7500,170.239.243.219,52138,TCP,5,0,0,64,5,2,8192,0,40,120
52.223.37.89,443,146.55.105.97,7176,TCP,5,0,0,64,5,2,8192,0,40,200
91.4.80.18,18010,182.250.165.63,45194,TCP,5,0,0,64,5,2,8192,0,40,80
52.92.253.207,443,175.86.21.37,42970,TCP,5,0,0,64,5,2,8192,0,40,280
55.8.36.251,443,136.87.70.20,42080,TCP,5,0,0,64,5,2,8192,0,40,160
149.18.111.110,23,175.86.20.72,44090,TCP,5,0,0,64,5,2,8192,0,40,80
179.163.182.23,28300,171.198.89.47,63862,UDP,5,0,0,64,0,0,0,8,28,56
89.232.231.88,59278,182.22.78.3,32406,UDP,5,0,0,64,0,0,0,8,28,56
160.68.140.239,49991,45.62.233.117,445,TCP,5,0,0,64,5,2,8192,0,40,40
199.105.231.190,80,146.55.105.99,52290,TCP,5,0,0,64,5,2,8192,0,40,80
34.239.67.40,443,146.55.105.92,40568,TCP,5,0,0,64,5,2,8192,0,40,40
91.12.171.106,443,171.176.25.166,38697,TCP,5,0,0,64,5,2,8192,0,40,120
205.190.20.171,443,161.89.80.150,59363,TCP,5,0,0,64,5,2,8192,0,40,80
128.55.251.95,57725,180.211.115.85,49347,UDP,5,0,0,64,0,0,0,8,28,28
30.252.247.54,80,136.186.73.156,57763,TCP,5,0,0,64,5,2,8192,0,40,80
146.55.91.192,443,146.55.105.93,61970,TCP,5,0,0,64,5,2,8192,0,40,360
52.79.70.96,443,175.84.167.221,1632,TCP,5,0,0,64,5,2,8192,0,40,40
45.225.54.251,47118,30.239.0.115,443,TCP,5,0,0,64,5,2,8192,0,40,40
105.224.210.35,34389,136.28.187.238,10580,UDP,5,0,0,64,0,0,0,8,28,28
148.227.42.103,443,136.28.184.252,56428,TCP,5,0,0,64,5,2,8192,0,40,80
72.106.214.253,80,162.67.235.67,51417,TCP,5,0,0,64,5,2,8192,0,40,80
34.223.208.227,443,175.242.126.12,55776,TCP,5,0,0,64,5,2,8192,0,40,80
52.121.191.23,16700,175.84.156.51,18142,UDP,5,0,0,64,0,0,0,8,28,28
213.13.164.127,50872,203.253.167.159,39951,UDP,5,0,0,64,0,0,0,8,28,28
213.5.4.231,443,162.160.211.215,60084,TCP,5,0,0,64,5,2,8192,0,40,40
128.55.240.54,54004,182.247.21.61,13513,UDP,5,0,0,64,0,0,0,8,28,28
126.49.235.161,27424,219.221.0.216,55008,UDP,5,0,0,64,0,0,0,8,28,28
25.31.79.30,80,146.55.105.100,64628,TCP,5,0,0,64,5,2,8192,0,40,40
37.245.124.2,7777,175.73.250.3,63564,UDP,5,0,0,64,0,0,0,8,28,28
168.117.52.28,6881,191.151.184.76,62335,UDP,5,0,0,64,0,0,0,8,28,56
199.192.105.231,443,180.120.246.52,4893,TCP,5,0,0,64,5,2,8192,0,40,200
94.164.182.90,56209,45.237.34.151,2431,TCP,5,0,0,64,5,2,8192,0,40,40
55.28.201.238,443,146.55.105.101,27434,TCP,5,0,0,64,5,2,8192,0,40,80
26.120.121.242,443,162.67.238.164,38409,TCP,5,0,0,64,5,2,8192,0,40,80
146.55.91.233,443,146.55.105.93,8088,TCP,5,0,0,64,5,2,8192,0,40,40
35.81.36.252,443,45.170.72.158,45425,TCP,5,0,0,64,5,2,8192,0,40,40
203.77.48.234,443,45.87.160.224,51215,TCP,5,0,0,64,5,2,8192,0,40,40
117.157.147.229,49396,175.84.134.90,45657,UDP,5,0,0,64,0,0,0,8,28,28
223.239.74.34,6881,173.249.37.99,58324,UDP,5,0,0,64,0,0,0,8,28,28
30.220.161.87,443,146.55.105.99,56154,TCP,5,0,0,64,5,2,8192,0,40,80
91.71.4.161,80,171.199.191.51,49818,TCP,5,0,0,64,5,2,8192,0,40,40
213.13.166.60,443,175.73.180.41,51365,TCP,5,0,0,64,5,2,8192,0,40,40
178.22.254.74,443,161.80.83.183,50347,TCP,5,0,0,64,5,2,8192,0,40,40
164.172.239.127,53,158.48.141.210,38700,UDP,5,0,0,64,0,0,0,8,28,28
13.95.213.38,443,199.124.196.49,12817,TCP,5,0,0,64,5,2,8192,0,40,160
128.55.250.208,59495,136.34.95.235,60557,UDP,5,0,0,64,0,0,0,8,28,28
89.28.239.58,45713,173.249.119.133,59415,UDP,5,0,0,64,0,0,0,8,28,28
124.24.148.185,443,175.84.158.83,62019,TCP,5,0,0,64,5,2,8192,0,40,40
45.46.231.76,50406,203.24.248.85,2022,UDP,5,0,0,64,0,0,0,8,28,28
189.55.242.120,443,146.55.105.98,31156,TCP,5,0,0,64,5,2,8192,0,40,40
52.100.112.16,443,175.69.90.136,51258,TCP,5,0,0,64,5,2,8192,0,40,40
94.21.84.159,53,158.48.141.194,61560,UDP,5,0,0,64,0,0,0,8,28,28
169.221.13.230,49847,171.168.25.181,113,TCP,5,0,0,64,5,2,8192,0,40,40
75.196.96.184,443,175.70.223.239,42756,TCP,5,0,0,64,5,2,8192,0,40,40
